日期,开盘,最高,最低,收盘,成交量,成交额
2024-01-02,150.0,151.54,146.7,148.22,7624748,1130140148.56
2024-01-03,148.22,154.51,146.74,153.01,7791637,1192198377.37
2024-01-04,153.01,154.69,150.54,150.83,4956991,747662952.53
2024-01-05,150.83,156.97,150.76,155.24,1559453,242089483.72
2024-01-08,155.24,161.15,155.21,159.69,2813887,449349615.03
2024-01-09,159.69,164.44,157.79,164.23,7952035,1305962708.05
2024-01-10,164.23,170.66,162.4,168.57,1670270,281557413.9
2024-01-11,168.57,173.55,166.42,172.88,4583452,792387181.76
2024-01-12,172.88,180.03,170.33,178.56,6126477,1093943733.12
2024-01-15,178.56,179.71,176.92,177.76,1484487,263882409.12
2024-01-16,177.76,179.35,175.05,176.73,2705279,478103957.67
2024-01-17,176.73,181.48,174.75,179.98,1631235,293589675.3
2024-01-18,179.98,182.1,178.53,180.13,2960442,533264417.46
2024-01-19,180.13,181.54,176.61,177.28,4354221,771916298.88
2024-01-22,177.28,178.02,172.87,175.21,5341925,935958679.25
2024-01-23,175.21,176.59,174.59,175.97,2131323,375048908.31
2024-01-24,175.97,179.68,174.83,179.33,5777155,1036017206.15
2024-01-25,179.33,187.01,177.4,185.92,7777151,1445927913.92
2024-01-26,185.92,186.32,178.71,180.9,7530873,1362334925.7
2024-01-29,180.9,181.8,178.91,181.11,6676157,1209118794.27
2024-01-30,181.11,189.16,178.93,186.68,2203376,411326231.68
2024-01-31,186.68,192.1,185.22,190.3,6010138,1143729261.4
2024-02-01,190.3,193.07,184.73,186.42,6562567,1223393740.14
2024-02-02,186.42,189.72,186.3,187.3,6387083,1196300645.9
2024-02-05,187.3,190.45,185.26,189.43,3363316,637112949.88
2024-02-06,189.43,189.98,183.96,186.16,5158133,960238039.28
2024-02-07,186.16,186.79,181.85,182.04,5898294,1073725439.76
2024-02-08,182.04,186.39,180.14,184.16,4187553,771179760.48
2024-02-09,184.16,191.11,182.71,189.28,1561028,295471379.84
2024-02-12,189.28,197.18,188.42,196.82,2756068,542449303.76
2024-02-13,196.82,200.78,194.05,198.7,4879008,969458889.6
2024-02-14,198.7,201.19,197.82,197.84,3308109,654476284.56
2024-02-15,197.84,199.5,192.5,194.05,7415098,1438899766.9
2024-02-16,194.05,196.62,193.19,194.67,766252,149166276.84
2024-02-19,194.67,196.76,193.5,193.96,1727815,335126997.4
2024-02-20,193.96,195.95,189.21,191.65,2668853,511485677.45
2024-02-21,191.65,192.33,189.38,191.6,5466815,1047441754.0
2024-02-22,191.6,192.19,188.71,189.71,819664,155498457.44
2024-02-23,189.71,191.02,188.04,188.23,882590,166129915.7
2024-02-26,188.23,190.5,186.05,190.49,2097432,399539821.68
2024-02-27,190.49,193.61,189.38,190.77,1014205,193479887.85
2024-02-28,190.77,192.01,188.52,188.91,7744107,1462939253.37
2024-02-29,188.91,189.95,183.51,183.94,3083314,567144777.16
2024-03-01,183.94,185.01,182.24,182.33,1576038,287359008.54
2024-03-04,182.33,183.67,176.57,178.13,5392954,960646896.02
2024-03-05,178.13,185.25,176.7,185.13,1585116,293452525.08
2024-03-06,185.13,192.26,184.67,192.12,7942379,1525889853.48
2024-03-07,192.12,194.06,192.11,193.69,2581395,499990397.55
2024-03-08,193.69,202.3,193.43,200.25,3617647,724433811.75
2024-03-11,200.25,201.04,192.82,195.23,893851,174506530.73
2024-03-12,195.23,201.18,192.49,199.19,4861202,968302826.38
2024-03-13,199.19,206.52,198.61,204.18,3797440,775361299.2
2024-03-14,204.18,209.53,201.43,206.92,1467790,303715106.8
2024-03-15,206.92,212.56,204.56,209.6,3610059,756668366.4
2024-03-18,209.6,212.09,206.58,211.14,2998563,633116591.82
2024-03-19,211.14,212.32,205.74,208.66,1901165,396697088.9
2024-03-20,208.66,213.36,206.42,213.02,7767404,1654612400.08
2024-03-21,213.02,214.09,206.03,207.99,1846701,384095340.99
2024-03-22,207.99,213.44,205.76,210.81,2936311,619003721.91
2024-03-25,210.81,218.17,210.51,218.04,3903749,851173431.96
2024-03-26,218.04,228.3,217.16,226.7,7083604,1605853026.8
2024-03-27,226.7,227.72,220.52,222.27,4964470,1103452746.9
2024-03-28,222.27,223.38,216.54,219.63,2574516,565440949.08
2024-03-29,219.63,230.96,218.39,227.71,1813492,412950263.32
2024-04-01,227.71,239.42,226.06,236.71,2693229,637514236.59
2024-04-02,236.71,238.76,228.84,232.18,4385285,1018175471.3
2024-04-03,232.18,233.49,226.74,228.37,2099862,479545484.94
2024-04-04,228.37,231.47,220.38,221.98,4700918,1043509777.64
2024-04-05,221.98,222.32,216.17,218.1,3077605,671225650.5
